OID,Numeric OID,YANG Xpath,YANG Module
.iso.org.dod.internet.mgmt.mib-2.lispMIB.lispObjects.lispMapCacheTable.lispMapCacheEntry.lispMapCacheEidTimeStamp.<>,.1.3.6.1.2.1.220.1.6.1.3.<>,/lisp-state/lisp-routers/instances/af/map-cache/up-time,Cisco-IOS-XE-lisp-oper
.iso.org.dod.internet.mgmt.mib-2.lispMIB.lispObjects.lispGlobalStatsTable.lispGlobalStatsEntry.lispGlobalStatsMapRegistersIn.<>,.1.3.6.1.2.1.220.1.3.1.5.<>,/lisp-state/lisp-routers/instances/af/map-register-records-in,Cisco-IOS-XE-lisp-oper
.iso.org.dod.internet.mgmt.mib-2.lispMIB.lispObjects.lispGlobalStatsTable.lispGlobalStatsEntry.lispGlobalStatsMapRegistersOut.<>,.1.3.6.1.2.1.220.1.3.1.6.<>,/lisp-state/lisp-routers/instances/af/map-register-records-out,Cisco-IOS-XE-lisp-oper
.iso.org.dod.internet.mgmt.mib-2.lispMIB.lispObjects.lispGlobalStatsTable.lispGlobalStatsEntry.lispGlobalStatsMapRepliesIn.<>,.1.3.6.1.2.1.220.1.3.1.3.<>,/lisp-state/lisp-routers/instances/af/map-reply-records-in,Cisco-IOS-XE-lisp-oper
.iso.org.dod.internet.mgmt.mib-2.lispMIB.lispObjects.lispGlobalStatsTable.lispGlobalStatsEntry.lispGlobalStatsMapRepliesOut.<>,.1.3.6.1.2.1.220.1.3.1.4.<>,/lisp-state/lisp-routers/instances/af/map-reply-records-out,Cisco-IOS-XE-lisp-oper
.iso.org.dod.internet.mgmt.mib-2.lispMIB.lispObjects.lispGlobalStatsTable.lispGlobalStatsEntry.lispGlobalStatsMapRequestsIn.<>,.1.3.6.1.2.1.220.1.3.1.1.<>,/lisp-state/lisp-routers/instances/af/map-requests-in,Cisco-IOS-XE-lisp-oper
.iso.org.dod.internet.mgmt.mib-2.lispMIB.lispObjects.lispGlobalStatsTable.lispGlobalStatsEntry.lispGlobalStatsMapRequestsOut.<>,.1.3.6.1.2.1.220.1.3.1.2.<>,/lisp-state/lisp-routers/instances/af/map-requests-out,Cisco-IOS-XE-lisp-oper
.iso.org.dod.internet.mgmt.mib-2.lispMIB.lispObjects.lispUseMapResolverTable.lispUseMapResolverEntry.lispUseMapResolverState.<>,.1.3.6.1.2.1.220.1.13.1.3.<>,/lisp-state/lisp-routers/instances/af/map-resolvers/state,Cisco-IOS-XE-lisp-oper
.iso.org.dod.internet.mgmt.mib-2.lispMIB.lispObjects.lispUseMapServerTable.lispUseMapServerEntry.lispUseMapServerState.<>,.1.3.6.1.2.1.220.1.12.1.3.<>,/lisp-state/lisp-routers/instances/af/map-servers/state,Cisco-IOS-XE-lisp-oper
.iso.org.dod.internet.mgmt.mib-2.lispMIB.lispObjects.lispFeaturesTable.lispFeaturesEntry.lispFeaturesEtrEnabled.<>,.1.3.6.1.2.1.220.1.1.1.4.<>,/lisp-state/lisp-routers/instances/af/role/is-etr,Cisco-IOS-XE-lisp-oper
.iso.org.dod.internet.mgmt.mib-2.lispMIB.lispObjects.lispFeaturesTable.lispFeaturesEntry.lispFeaturesItrEnabled.<>,.1.3.6.1.2.1.220.1.1.1.3.<>,/lisp-state/lisp-routers/instances/af/role/is-itr,Cisco-IOS-XE-lisp-oper
.iso.org.dod.internet.mgmt.mib-2.lispMIB.lispObjects.lispFeaturesTable.lispFeaturesEntry.lispFeaturesMapResolverEnabled.<>,.1.3.6.1.2.1.220.1.1.1.8.<>,/lisp-state/lisp-routers/instances/af/role/is-mr,Cisco-IOS-XE-lisp-oper
.iso.org.dod.internet.mgmt.mib-2.lispMIB.lispObjects.lispFeaturesTable.lispFeaturesEntry.lispFeaturesMapServerEnabled.<>,.1.3.6.1.2.1.220.1.1.1.7.<>,/lisp-state/lisp-routers/instances/af/role/is-ms,Cisco-IOS-XE-lisp-oper
.iso.org.dod.internet.mgmt.mib-2.lispMIB.lispObjects.lispFeaturesTable.lispFeaturesEntry.lispFeaturesProxyEtrEnabled.<>,.1.3.6.1.2.1.220.1.1.1.6.<>,/lisp-state/lisp-routers/instances/af/role/is-petr,Cisco-IOS-XE-lisp-oper
.iso.org.dod.internet.mgmt.mib-2.lispMIB.lispObjects.lispFeaturesTable.lispFeaturesEntry.lispFeaturesProxyItrEnabled.<>,.1.3.6.1.2.1.220.1.1.1.5.<>,/lisp-state/lisp-routers/instances/af/role/is-pitr,Cisco-IOS-XE-lisp-oper
.iso.org.dod.internet.mgmt.mib-2.lispMIB.lispObjects.lispFeaturesTable.lispFeaturesEntry.lispFeaturesMapCacheSize.<>,.1.3.6.1.2.1.220.1.1.1.9.<>,/lisp-state/lisp-routers/instances/instances/af/map-cache-size,Cisco-IOS-XE-lisp-oper
